row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_pre02.mzML Peak height,
2,362.92634109206614,0.5550069,,,,,,,,,,,277738.3,
4,203.05267049844505,0.5914129,,,,,,,,,,,2149190.8,
5,365.10550144045845,0.60269016,,,,,,,,,,,283173.22,
6,166.08632187058762,1.5801162,,,,,,,,,,,226103.28,
8,135.10171380726678,2.0556624,,,,,,,,,,,278157.75,
10,197.12851533452266,2.3747268,,,,,,,,,,,264386.1,
12,245.12845314008365,3.282747,,,,,,,,,,,213440.77,
14,155.04686467129778,3.7901516,,,,,,,,,,,294434.25,
17,241.20362368731065,4.1197324,,,,,,,,,,,401474.7,
18,342.263943094624,4.191357,,,,,,,,,,,2358871.5,
23,222.16999347491,4.955485,,,,,,,,,,,270032.53,
27,198.18532127658034,5.3050947,,,,,,,,,,,230438.94,
29,223.13273770091374,5.417648,,,,,,,,,,,673815.44,
30,451.2303015367062,5.548164,,,,,,,,,,,389850.97,
31,304.1755332705093,5.659521,,,,,,,,,,,395854.44,
32,348.20168698656295,5.659521,,,,,,,,,,,278074.8,
34,177.0546920568902,5.7709785,,,,,,,,,,,1692203.0,
35,223.09650529931514,5.7709785,,,,,,,,,,,1022283.1,
36,179.10670239469792,5.8835506,,,,,,,,,,,318643.34,
37,311.1852457576513,6.086868,,,,,,,,,,,851942.25,
38,235.1327845544326,6.2389126,,,,,,,,,,,224823.58,
39,250.11864569664397,6.353266,,,,,,,,,,,1420854.5,
40,195.1016624987221,6.4782443,,,,,,,,,,,515959.78,
42,288.25331997301504,6.705251,,,,,,,,,,,315077.84,
44,325.2009186806604,7.0503273,,,,,,,,,,,233999.9,
46,249.1849218751606,7.410279,,,,,,,,,,,213115.31,
53,464.3583182548487,9.268438,,,,,,,,,,,2528092.2,
55,492.3895009375552,9.268438,,,,,,,,,,,223838.47,
58,537.5356000443954,10.558406,,,,,,,,,,,918802.56,
59,559.5174984108909,10.558406,,,,,,,,,,,416863.06,
60,582.5934625703852,10.558406,,,,,,,,,,,580105.0,
61,123.07939503228279,10.569862,,,,,,,,,,,315822.72,
62,128.1184138113738,10.569862,,,,,,,,,,,322150.25,
63,135.079245333699,10.569862,,,,,,,,,,,388648.03,
64,161.08225707910262,10.569862,,,,,,,,,,,268923.9,
65,163.0978560462284,10.569862,,,,,,,,,,,343399.94,
66,176.10573527203087,10.569862,,,,,,,,,,,403120.12,
