row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_003151_01_01.mzML Peak height,
1,241.9995526539863,0.5119757,,,,,,,,,,,1682624.2,
2,243.00080020893066,0.5119757,,,,,,,,,,,481812.66,
3,312.9202583655397,0.5119757,,,,,,,,,,,322085.34,
4,328.89792104368746,0.5119757,,,,,,,,,,,729325.94,
5,442.8783750861237,0.5119757,,,,,,,,,,,241140.23,
6,143.99691747816144,0.5172905,,,,,,,,,,,223473.8,
7,198.94013100279506,0.5172905,,,,,,,,,,,1694482.2,
8,216.95069085008075,0.5172905,,,,,,,,,,,1849690.5,
9,239.96660363066962,0.5172905,,,,,,,,,,,2139509.0,
10,255.94412647666658,0.5172905,,,,,,,,,,,643714.75,
11,265.01543635387156,0.5172905,,,,,,,,,,,509832.4,
12,344.8754852546677,0.5172905,,,,,,,,,,,470719.66,
13,458.8558975519697,0.5172905,,,,,,,,,,,318692.75,
16,214.91765847222987,0.52852553,,,,,,,,,,,2658455.0,
17,232.92827118437222,0.52852553,,,,,,,,,,,775859.56,
18,257.97710572013114,0.52852553,,,,,,,,,,,568574.7,
19,236.90484172364978,0.5594879,,,,,,,,,,,490030.06,
20,252.88230263160477,0.5594879,,,,,,,,,,,544580.25,
21,320.86624556793015,0.5594879,,,,,,,,,,,680875.1,
22,336.8435742021753,0.5594879,,,,,,,,,,,867292.4,
23,122.92462561413834,0.5714086,,,,,,,,,,,345506.8,
24,139.53102160381295,0.5714086,,,,,,,,,,,450690.44,
25,206.88584247613394,0.5714086,,,,,,,,,,,521120.16,
26,249.04611365285112,0.5714086,,,,,,,,,,,465071.78,
27,265.0232474669862,0.5714086,,,,,,,,,,,1339221.9,
28,290.84702599391875,0.5714086,,,,,,,,,,,839737.8,
29,192.05532936046376,0.59444386,,,,,,,,,,,477750.03,
30,219.0265117756466,0.59444386,,,,,,,,,,,1.093059E7,
32,200.04412403725078,0.60722715,,,,,,,,,,,1063915.6,
33,241.1545893131273,0.60722715,,,,,,,,,,,790953.7,
34,249.03639901634136,0.60722715,,,,,,,,,,,1199658.5,
41,176.01083472447883,0.618402,,,,,,,,,,,1142047.5,
42,273.08174673576355,0.618402,,,,,,,,,,,618113.3,
43,281.0703679743801,0.618402,,,,,,,,,,,1093937.4,
46,362.09681782836236,0.618402,,,,,,,,,,,897799.3,
47,381.0793173069638,0.618402,,,,,,,,,,,1.5610487E7,
49,130.050074441076,0.6296248,,,,,,,,,,,956696.3,
50,147.07641683137092,0.6296248,,,,,,,,,,,920055.1,
51,263.0163523890143,0.6296248,,,,,,,,,,,592196.0,
52,136.07587362240565,0.6408227,,,,,,,,,,,3112213.5,
53,145.04954549150435,0.6408227,,,,,,,,,,,758756.4,
54,148.0604296063586,0.6408227,,,,,,,,,,,852731.94,
55,193.070719902164,0.6408227,,,,,,,,,,,365910.8,
56,337.08943136655535,0.6408227,,,,,,,,,,,438576.84,
57,180.08664302105214,0.6521101,,,,,,,,,,,1727629.2,
58,198.09723259541,0.6521101,,,,,,,,,,,1457682.9,
59,203.00387563019197,0.6521101,,,,,,,,,,,334792.22,
60,210.0971599991663,0.6521101,,,,,,,,,,,363752.4,
61,325.1129016025157,0.6521101,,,,,,,,,,,782165.8,
62,353.03906927328194,0.6521101,,,,,,,,,,,389048.22,
63,127.03921011147796,0.663437,,,,,,,,,,,783919.8,
64,203.0526165346627,0.663437,,,,,,,,,,,803353.2,
65,360.1500260939174,0.663437,,,,,,,,,,,4484040.0,
66,189.15976929219408,0.67476404,,,,,,,,,,,366939.12,
67,306.99725591562856,0.67476404,,,,,,,,,,,416418.84,
68,291.01966970908325,0.6880411,,,,,,,,,,,296631.75,
69,365.1054810363778,0.6880411,,,,,,,,,,,1198884.9,
70,138.05509785222068,0.7108826,,,,,,,,,,,2.1454802E7,
71,258.1095739607419,0.7108826,,,,,,,,,,,373601.22,
72,136.0620228474824,0.7455906,,,,,,,,,,,750302.44,
73,321.9617994328216,0.7455906,,,,,,,,,,,416291.12,
74,150.07750332098902,0.7625634,,,,,,,,,,,267944.56,
75,130.08649019727685,0.76949674,,,,,,,,,,,1980121.1,
76,166.08630301997752,0.7957778,,,,,,,,,,,606847.9,
77,335.0744364646008,0.7957778,,,,,,,,,,,262150.4,
78,137.0599074280046,0.8226464,,,,,,,,,,,349059.84,
79,175.02375222962388,0.8226464,,,,,,,,,,,361135.06,
80,284.13405932691734,0.8226464,,,,,,,,,,,332391.53,
81,193.03438083417976,0.83496493,,,,,,,,,,,290241.75,
82,210.06085863250397,0.83496493,,,,,,,,,,,2350799.0,
83,215.01619178910195,0.83496493,,,,,,,,,,,863032.0,
84,230.99020434650234,0.83496493,,,,,,,,,,,1056174.9,
85,242.98249999345663,0.83496493,,,,,,,,,,,259833.5,
86,166.04996727334324,0.85766715,,,,,,,,,,,361131.94,
87,182.0812651870567,0.9126144,,,,,,,,,,,530496.7,
88,277.0683825672957,0.9126144,,,,,,,,,,,399789.22,
89,121.06511475246852,1.0111055,,,,,,,,,,,3857394.2,
90,138.0912962577905,1.0218031,,,,,,,,,,,903081.75,
91,268.1040197061514,1.0538969,,,,,,,,,,,552780.8,
92,132.10210081066245,1.1431856,,,,,,,,,,,762226.25,
93,150.0550324353624,1.341151,,,,,,,,,,,971474.3,
94,176.0109072646216,1.341151,,,,,,,,,,,1241999.6,
