row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_post02.mzML Peak height,
2,362.92632735094065,0.5550134,,,,,,,,,,,271390.1,
4,203.0526683225418,0.58686304,,,,,,,,,,,1964732.0,
5,365.1055061541227,0.6089837,,,,,,,,,,,220809.33,
6,166.08633080470872,1.5625184,,,,,,,,,,,243666.03,
8,135.1016996333766,2.042646,,,,,,,,,,,223980.72,
9,197.12849243235976,2.3661165,,,,,,,,,,,241330.14,
15,155.0468492586853,3.789556,,,,,,,,,,,285989.2,
20,241.20361545758038,4.150645,,,,,,,,,,,336128.53,
21,342.2639047650419,4.1957946,,,,,,,,,,,1396895.5,
27,198.18530209747465,5.307141,,,,,,,,,,,238780.78,
29,223.13282477516734,5.415123,,,,,,,,,,,666963.2,
30,451.230326704284,5.545647,,,,,,,,,,,427511.12,
31,304.1755022662246,5.657013,,,,,,,,,,,392304.7,
32,348.2016664971284,5.661563,,,,,,,,,,,284966.9,
34,177.0546783135022,5.773031,,,,,,,,,,,1510999.5,
35,223.09648469429226,5.773031,,,,,,,,,,,853814.94,
36,179.10668295029996,5.8811426,,,,,,,,,,,332354.03,
37,311.1852599963838,6.088995,,,,,,,,,,,873569.0,
38,235.1328297306434,6.2422566,,,,,,,,,,,279237.38,
39,250.1186393338731,6.3545537,,,,,,,,,,,1474540.9,
40,195.10166692456008,6.4841213,,,,,,,,,,,646189.7,
42,288.25329289649187,6.711151,,,,,,,,,,,294177.72,
43,325.2008975506499,7.0516505,,,,,,,,,,,236394.94,
51,464.35838914454723,9.268275,,,,,,,,,,,2387163.2,
52,492.3895852813091,9.268275,,,,,,,,,,,283614.8,
54,607.2915406161467,10.312887,,,,,,,,,,,264226.56,
55,537.5355464752801,10.500985,,,,,,,,,,,571635.2,
56,582.5934272796931,10.500985,,,,,,,,,,,442240.03,
