row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_003164_01_01.mzML Peak height,
2,143.99689775032425,0.522348,,,,,,,,,,,528500.3,
3,182.96236897247567,0.522348,,,,,,,,,,,272306.44,
4,184.02825626366936,0.522348,,,,,,,,,,,331802.94,
5,198.94015452540313,0.522348,,,,,,,,,,,4880672.0,
6,214.91769230220294,0.522348,,,,,,,,,,,1.2827654E7,
7,216.95065616827986,0.522348,,,,,,,,,,,3330564.8,
8,217.95167178149208,0.522348,,,,,,,,,,,477520.97,
9,218.91056977016223,0.522348,,,,,,,,,,,551870.06,
10,232.9282335472073,0.522348,,,,,,,,,,,2457977.5,
11,234.96123259178228,0.522348,,,,,,,,,,,360605.72,
12,239.9665969371067,0.522348,,,,,,,,,,,4995282.5,
13,243.00080317940623,0.522348,,,,,,,,,,,496185.8,
15,328.89792378526545,0.522348,,,,,,,,,,,1289818.0,
16,344.8755072451224,0.522348,,,,,,,,,,,2543760.5,
17,357.4000318726961,0.522348,,,,,,,,,,,298034.3,
18,369.92458506114974,0.522348,,,,,,,,,,,270332.8,
19,422.3789135202345,0.522348,,,,,,,,,,,341263.22,
20,458.8558508651607,0.522348,,,,,,,,,,,1025642.9,
21,474.833509320391,0.522348,,,,,,,,,,,962275.75,
23,588.813799440378,0.522348,,,,,,,,,,,303260.75,
24,126.9898019398532,0.5337167,,,,,,,,,,,299133.62,
25,215.9210561255803,0.5337167,,,,,,,,,,,451877.94,
26,255.94412048717317,0.5337167,,,,,,,,,,,3106314.2,
27,332.99816595868845,0.5564956,,,,,,,,,,,702492.75,
28,252.88260925206575,0.567983,,,,,,,,,,,446496.22,
29,336.843927569555,0.5792767,,,,,,,,,,,481042.88,
30,139.5311483735241,0.590437,,,,,,,,,,,1796986.8,
31,265.02340551530745,0.590437,,,,,,,,,,,5774521.0,
32,130.5259348944216,0.6036057,,,,,,,,,,,1042458.75,
34,200.04427768128056,0.6036057,,,,,,,,,,,5580267.0,
35,219.02667373353586,0.6036057,,,,,,,,,,,2.1330058E7,
37,249.04616732841114,0.6036057,,,,,,,,,,,1496628.5,
40,191.03891163863346,0.614366,,,,,,,,,,,1468807.2,
41,273.0818546019666,0.614366,,,,,,,,,,,1982836.0,
42,281.0706206062643,0.614366,,,,,,,,,,,6169493.5,
44,290.075887156554,0.614366,,,,,,,,,,,3424394.0,
45,371.10244724035147,0.614366,,,,,,,,,,,2188882.5,
46,381.07949293150165,0.614366,,,,,,,,,,,2.6968828E7,
49,427.07610713897117,0.614366,,,,,,,,,,,3094598.5,
50,445.0867559999438,0.614366,,,,,,,,,,,1882134.9,
51,176.01095676209988,0.62535346,,,,,,,,,,,1283851.9,
52,354.10830216231835,0.62535346,,,,,,,,,,,1204148.8,
53,362.09703501837686,0.62535346,,,,,,,,,,,5279043.5,
54,533.1551800561174,0.62535346,,,,,,,,,,,1617593.1,
55,148.06049800191602,0.6364367,,,,,,,,,,,1415390.8,
56,263.0525993111963,0.6364367,,,,,,,,,,,1079833.8,
57,127.03920180115489,0.64748657,,,,,,,,,,,1032874.3,
58,145.049612979844,0.64748657,,,,,,,,,,,1180206.6,
59,180.08670246233405,0.64748657,,,,,,,,,,,3075659.0,
60,230.9903032914304,0.64748657,,,,,,,,,,,478623.72,
61,258.04971796715193,0.64748657,,,,,,,,,,,526065.4,
62,263.01651286102094,0.64748657,,,,,,,,,,,1687018.6,
64,515.0922790025302,0.64748657,,,,,,,,,,,1189094.2,
65,177.0232542188722,0.6585386,,,,,,,,,,,776276.44,
66,198.09731757616268,0.6585386,,,,,,,,,,,2598773.2,
67,353.0391953833558,0.6585386,,,,,,,,,,,1524385.5,
68,335.0740809678317,0.6697635,,,,,,,,,,,292369.03,
69,138.05505602978673,0.6942383,,,,,,,,,,,2266340.0,
70,146.16524837757007,0.6942383,,,,,,,,,,,697446.5,
71,203.05266800298682,0.6942383,,,,,,,,,,,1775035.9,
72,242.0870551293824,0.6942383,,,,,,,,,,,414324.4,
73,325.11294017922194,0.6942383,,,,,,,,,,,1013721.75,
74,360.1501140461784,0.6942383,,,,,,,,,,,5664912.0,
75,365.10555608177935,0.6942383,,,,,,,,,,,2210588.8,
76,136.06191378730261,0.7404151,,,,,,,,,,,1308479.0,
77,210.06087168284077,0.75224215,,,,,,,,,,,592058.94,
78,306.9972968764085,0.75224215,,,,,,,,,,,545111.9,
79,203.0038852021963,0.7643379,,,,,,,,,,,291467.2,
80,218.9814804195484,0.7765315,,,,,,,,,,,484364.8,
81,277.03229355784504,0.7946543,,,,,,,,,,,807583.9,
82,284.13403465627954,0.83096653,,,,,,,,,,,1313786.0,
83,270.11834275659686,0.8383812,,,,,,,,,,,343714.66,
84,332.13393551172624,0.8383812,,,,,,,,,,,735005.44,
85,256.1026649523972,0.85288304,,,,,,,,,,,350432.5,
86,214.00232339727378,0.8784789,,,,,,,,,,,398404.4,
87,228.96687035639664,0.88922656,,,,,,,,,,,401339.66,
88,277.0683955420118,0.899941,,,,,,,,,,,564816.8,
89,284.16993561521946,0.9073346,,,,,,,,,,,342942.84,
90,132.102077613708,1.0719087,,,,,,,,,,,242991.31,
91,232.9282549680052,1.2358992,,,,,,,,,,,293249.34,
92,214.91765229928717,1.2434155,,,,,,,,,,,638501.2,
93,139.5310972890839,1.2906735,,,,,,,,,,,232816.2,
94,291.0840509796332,1.2906735,,,,,,,,,,,877537.75,
95,200.04422775739596,1.2964152,,,,,,,,,,,342364.44,
96,219.02659591139542,1.3265462,,,,,,,,,,,2014424.1,
